label,precision,recall,f1_score,support,average_precision
.asm,0.865187011919441,0.8840823183536329,0.8745326132114666,2381.0,0.7672915826088804
.bat,0.7867212369258754,0.8689100954294324,0.8257756563245823,1991.0,0.6858549029584812
.c,0.7500974658869396,0.8666666666666667,0.8041797283176594,2220.0,0.6526530675994776
.cbl,0.6984126984126984,0.39111111111111113,0.5014245014245013,225.0,0.2743458104480221
.clj,0.9820996613449444,0.9892787524366472,0.9856761349842194,2052.0,0.9717612369924656
.cmake,0.9645454545454546,0.9331574318381706,0.9485918641037103,2274.0,0.9013917686093705
.coffee,0.9504214179474467,0.920749279538905,0.9353500853866799,2082.0,0.876531655198596
.cpp,0.829209121785541,0.7100124636476942,0.7649955237242614,2407.0,0.5948058412372911
.cs,0.9834065397755003,0.9887144259077527,0.9860533398580867,2038.0,0.9725078193498709
.css,0.9739086803813347,0.9594661393969353,0.9666334661354583,2023.0,0.9351439725266519
.csv,0.9099222679469593,0.9373528026377768,0.9234338747099767,2123.0,0.8540723212278384
.dart,0.9701691896705253,0.9478033927794693,0.9588558855885588,2299.0,0.9205709727144796
.dm,0.990418118466899,0.979328165374677,0.9848419229103508,2322.0,0.9703608881818866
.dockerfile,0.9519188354653727,0.9354139575205895,0.9435942282466113,2307.0,0.8917311413962422
.erl,0.9485798237022527,0.9822515212981744,0.9651220727453911,1972.0,0.9320476941635638
.ex,0.9892280071813285,0.9696436427628684,0.9793379249055766,2273.0,0.9597974092317786
.f90,0.8648077735530207,0.8361928104575164,0.8502596053997923,2448.0,0.726625797614754
.go,0.9916520210896309,0.9817311874728143,0.9866666666666666,2299.0,0.9739001793352662
.groovy,0.9575757575757575,0.915057915057915,0.9358341559723592,2072.0,0.8777645502267587
.hs,0.9879227053140096,0.9682765151515151,0.978000956480153,2112.0,0.9571637597796845
.html,0.911427260211106,0.9306466729147141,0.9209367029909575,2134.0,0.8495010459013042
.ini,0.5944837868058144,0.8247156153050672,0.6909248429716266,1934.0,0.49322179999282206
.java,0.9779286926994907,0.9800085070182901,0.9789674952198854,2351.0,0.958786289679513
.jl,0.9436974789915966,0.9377870563674322,0.9407329842931937,2395.0,0.8862802572000831
.js,0.8686498855835241,0.8885767790262172,0.8785003471418653,2136.0,0.7739274083963503
.json,0.9423180592991913,0.9914917753828701,0.9662797125483693,1763.0,0.9344307709867268
.kt,0.9636871508379888,0.9565619223659889,0.9601113172541744,2164.0,0.922642136718463
.lisp,0.9737687366167024,0.9469026548672567,0.9601477962523094,1921.0,0.92294932662754
.lua,0.9807135969141755,0.9048042704626335,0.9412309116149931,2248.0,0.8892108769168366
.makefile,0.9122516556291391,0.8551474392136575,0.8827770360480641,1933.0,0.7825394213038546
.matlab,0.9555075593952483,0.9400764980875478,0.9477292202227934,2353.0,0.8994737550626751
.md,0.6550051957048839,0.8529544429409112,0.7409874608150471,2217.0,0.5615185197836534
.ml,0.9737720553171197,0.9659413434247871,0.9698408928995488,2114.0,0.941231481207323
.mm,0.9838709677419355,0.9371508379888268,0.9599427753934192,2148.0,0.923206990463711
.pas,0.973,0.9369282619162254,0.9546234976698553,2077.0,0.9127679766434772
.php,0.9900605012964564,0.9455220800660339,0.9672788684821617,2423.0,0.9372695200691576
.pm,0.9665551839464883,0.9542452830188679,0.9603607880370282,2120.0,0.9231724612912106
.prolog,0.9565891472868217,0.8950676982591876,0.9248063952035973,2068.0,0.8580951056492216
.ps1,0.9260928346101848,0.9013157894736842,0.913536341409202,2280.0,0.8366545753050643
.py,0.9608695652173913,0.9008152173913043,0.9298737727910239,2208.0,0.8674663410697236
.r,0.9678938356164384,0.9556213017751479,0.9617184176945981,2366.0,0.9258511249497382
.rb,0.973151590251962,0.9671592775041051,0.9701461807700227,2436.0,0.9418868043798233
.rs,0.9851818590031433,0.9699381078691424,0.9775005569169081,2262.0,0.9561555113608131
.scala,0.9620081411126187,0.9672578444747613,0.964625850340136,2199.0,0.9311347148445518
.sh,0.9307317073170732,0.8621780388612743,0.8951442646023927,2213.0,0.8051031345228682
.sql,0.8331744518589133,0.8581246931762395,0.84546553808948,2037.0,0.7174754241759869
.swift,0.9937739463601533,0.9815515610217597,0.9876249405045217,2114.0,0.9757787983843232
.tex,0.9513457556935818,0.9176235646530204,0.9341804320203304,2003.0,0.874409102922206
.toml,0.8689696247766527,0.9187657430730478,0.8931741659014386,1588.0,0.7994989454285747
.ts,0.9236401673640168,0.924123495552067,0.9238817682448338,1911.0,0.8548158455994301
.v,0.9345488546049556,0.8940071556350626,0.9138285714285715,2236.0,0.8375499765773105
.vba,0.8792672772689425,0.8588857259048394,0.8689570047315368,2459.0,0.7582012732148623
.xml,0.9770168855534709,0.9408310749774165,0.9585826046939714,2214.0,0.9203446245053494
.yaml,0.8792250618301731,0.9302224160488443,0.9040050858232677,2293.0,0.8192632921658878
macro_average,0.9225255974371906,0.9140398285344167,0.9164367545947628,,
