label,precision,recall,f1_score,support,average_precision
.asm,0.6783033033033034,0.7589248215035699,0.7163528245787909,2381.0,0.519762209236804
.bat,0.698573400828348,0.7624309392265194,0.729106628242075,1991.0,0.5367185229589557
.c,0.7517985611510791,0.7531531531531531,0.7524752475247524,2220.0,0.570974832697828
.cbl,0.005813953488372093,0.008888888888888889,0.007029876977152899,225.0,0.0019868051527827837
.clj,0.9731100963977676,0.9346978557504874,0.9535172756649266,2052.0,0.9107267313904995
.cmake,0.8272610372910416,0.8487247141600703,0.8378554373779034,2274.0,0.7051020138445914
.coffee,0.8240601503759398,0.7896253602305475,0.8064753495217071,2082.0,0.6544996226797031
.cpp,0.7748148148148148,0.6518487744079767,0.7080324909747294,2407.0,0.5123339942664672
.cs,0.9620689655172414,0.9582924435721295,0.9601769911504424,2038.0,0.9226810237658032
.css,0.9691817215727949,0.9016312407315867,0.9341869398207426,2023.0,0.8755713790473444
.csv,0.8596783139212424,0.730098916627414,0.7896077432501273,2123.0,0.6326225238009215
.dart,0.9480637813211845,0.9051761635493693,0.9261237205162439,2299.0,0.8600564734770272
.dm,0.9871794871794872,0.9616709732988803,0.9742582897033158,2322.0,0.9501141729444504
.dockerfile,0.9069316529326223,0.8110099696575639,0.8562929061784896,2307.0,0.7393140865275887
.erl,0.8925944090240314,0.922920892494929,0.9075043630017452,1972.0,0.825113037966996
.ex,0.9544408651633686,0.9124505059392873,0.9329734592892487,2273.0,0.8726069112387368
.f90,0.7629382303839732,0.7467320261437909,0.754748142031379,2448.0,0.5750905803328601
.go,0.9621645402551694,0.9512831665941713,0.9566929133858267,2299.0,0.9162628322682334
.groovy,0.9036472509526402,0.8011583011583011,0.8493220772576107,2072.0,0.7275397059858751
.hs,0.9417989417989417,0.9270833333333334,0.9343832020997376,2112.0,0.8744624670335663
.html,0.8146993318485524,0.8570759137769447,0.8353505366522037,2134.0,0.7009058706997928
.ini,0.34562784915043515,0.8624612202688728,0.493491124260355,1934.0,0.30039888290765826
.java,0.9561181434599156,0.9638451722671204,0.9599661088752384,2351.0,0.9222874606062169
.jl,0.8869946419873356,0.7603340292275574,0.818794964028777,2395.0,0.6793932058975484
.js,0.8065556152606126,0.7027153558052435,0.751063297473105,2136.0,0.5722893512870869
.json,0.8768343815513627,0.9489506522972206,0.9114682647779898,1763.0,0.8328535507107812
.kt,0.9497607655502392,0.91728280961183,0.933239304184297,2164.0,0.8727525305518548
.lisp,0.937636761487965,0.892243623112962,0.9143771672445985,1921.0,0.8383967037101926
.lua,0.9332298136645962,0.8020462633451957,0.8626794258373205,2248.0,0.7523550583313395
.makefile,0.7839912280701754,0.7397827211588205,0.7612456747404844,1933.0,0.5843480437067963
.matlab,0.8837622005323869,0.8465788355291117,0.864771000651183,2353.0,0.7513070218284172
.md,0.6044874615046194,0.6197564276048715,0.6120267260579064,2217.0,0.38195028497593714
.ml,0.9362962962962963,0.8968779564806055,0.9161633244745108,2114.0,0.841635245983191
.mm,0.9356505401596994,0.9273743016759777,0.9314940378770167,2148.0,0.8690519864203939
.pas,0.8754770992366412,0.88348579682234,0.8794632159118141,2077.0,0.7755715843543334
.php,0.9195153613154479,0.8770119686339248,0.8977608787494719,2423.0,0.8090119297667696
.pm,0.9354018311291964,0.8674528301886792,0.9001468428781205,2120.0,0.8138553975439934
.prolog,0.8322033898305085,0.7122823984526112,0.767587285044294,2068.0,0.5979270539164939
.ps1,0.8558024691358025,0.7600877192982456,0.8051103368176538,2280.0,0.6552316450730064
.py,0.9310699588477366,0.8197463768115942,0.8718689788053949,2208.0,0.7666949471861323
.r,0.9226322810137839,0.8770076077768385,0.8992416034669556,2366.0,0.811680738328106
.rb,0.8968775677896467,0.8961412151067324,0.8965092402464065,2436.0,0.805924409760866
.rs,0.9726544082979727,0.9120247568523431,0.9413643623089208,2262.0,0.8888117611606082
.scala,0.914044152184124,0.8849477035015917,0.8992606284658042,2199.0,0.8110767297342812
.sh,0.8276024493641074,0.7939448712155445,0.8104243542435425,2213.0,0.661027748141715
.sql,0.46591247395058055,0.7682866961217477,0.5800593031875463,2037.0,0.3620502264470139
.swift,0.9742718446601941,0.9493850520340587,0.9616674652611403,2114.0,0.9258876391020973
.tex,0.9029535864978903,0.854717923115327,0.8781738907412158,2003.0,0.7742958228195321
.toml,0.8771031455742502,0.7550377833753149,0.8115059221658206,1588.0,0.6656216374503795
.ts,0.8560168155543878,0.8524332810047096,0.8542212899842685,1911.0,0.7321443321386512
.v,0.9291101055806938,0.8264758497316637,0.874792899408284,2236.0,0.7712540089354392
.vba,0.7839335180055401,0.8056120374135828,0.7946249498596069,2459.0,0.6356942159495856
.xml,0.9621870209504343,0.8504968383017163,0.9029009829777032,2214.0,0.8212093355966936
.yaml,0.7409798708697304,0.8508504143044047,0.7921234267153877,2293.0,0.633430801168479
macro_average,0.8446632936664116,0.8254177193082827,0.8309639757948387,,
