label,precision,recall,f1_score,support,average_precision
.asm,0.6834723275208491,0.757244855102898,0.7184698147041243,2381.0,0.5225716102449167
.bat,0.6981132075471698,0.7619286790557509,0.728626320845341,1991.0,0.536025700597645
.c,0.7420479302832244,0.7671171171171172,0.7543743078626799,2220.0,0.5737240363856958
.cbl,0.5,0.008888888888888889,0.017467248908296946,225.0,0.0063795700106639205
.clj,0.9731100963977676,0.9346978557504874,0.9535172756649266,2052.0,0.9107267313904995
.cmake,0.8257899231426131,0.8504837291116975,0.8379549393414211,2274.0,0.7052713089586922
.coffee,0.818362282878412,0.7920268972142172,0.8049792531120332,2082.0,0.6519223808271842
.cpp,0.784452296819788,0.6456169505608641,0.7082953509571559,2407.0,0.5138577719663748
.cs,0.9634748272458046,0.957801766437684,0.9606299212598426,2038.0,0.9235641730627713
.css,0.9696647152740819,0.9006426099851705,0.9338800615069196,2023.0,0.8750655762925106
.csv,0.8598442714126807,0.7282147903909562,0.7885743432797755,2123.0,0.6311583448070786
.dart,0.946866485013624,0.9069160504567203,0.9264607864918907,2299.0,0.8605854392265141
.dm,0.9867432611577552,0.9616709732988803,0.9740458015267176,2322.0,0.9496946670415531
.dockerfile,0.9108813392417529,0.8019072388383182,0.8529276164130936,2307.0,0.734408045417485
.erl,0.8921039725355566,0.9224137931034483,0.9070057342308651,1972.0,0.8242166961968526
.ex,0.9519450800915332,0.9150901891772987,0.9331538806639749,2273.0,0.8727903981999175
.f90,0.7773520647083866,0.7459150326797386,0.7613091515530539,2448.0,0.58523611587254
.go,0.9625220458553791,0.9495432796868204,0.9559886139697832,2299.0,0.9149629525945439
.groovy,0.9017905588714054,0.8021235521235521,0.8490421455938698,2072.0,0.7269053005334597
.hs,0.9417989417989417,0.9270833333333334,0.9343832020997376,2112.0,0.8744624670335663
.html,0.812,0.8561387066541706,0.833485401459854,2134.0,0.697848681591659
.ini,0.32397366382649107,0.8650465356773527,0.4714003944773175,1934.0,0.2825171734486632
.java,0.9545836837678722,0.9655465759251383,0.9600338337914993,2351.0,0.9223979004389609
.jl,0.8865075499269361,0.7599164926931107,0.8183453237410073,2395.0,0.6786613816316248
.js,0.8014744602422328,0.7125468164794008,0.7543990086741016,2136.0,0.5764161787120942
.json,0.880927291886196,0.9483834373227453,0.9134116361649823,1763.0,0.8362465231845554
.kt,0.9547859547859547,0.91728280961183,0.9356587320292246,2164.0,0.877362050252823
.lisp,0.9341317365269461,0.8932847475273296,0.9132517296434274,1921.0,0.8362245595107614
.lua,0.9335410176531672,0.7998220640569395,0.8615237182558696,2248.0,0.7505716655260991
.makefile,0.7964601769911505,0.7449560269011899,0.7698476343223738,1933.0,0.5976059117455218
.matlab,0.8837622005323869,0.8465788355291117,0.864771000651183,2353.0,0.7513070218284172
.md,0.5956709956709957,0.620658547586829,0.607908106914071,2217.0,0.3770062349284133
.ml,0.9366963402571711,0.8959318826868495,0.9158607350096711,2114.0,0.8411252081193424
.mm,0.9330524344569289,0.9278398510242085,0.9304388422035481,2148.0,0.8670682742182114
.pas,0.8828351012536162,0.8815599422243621,0.8821970609491688,2077.0,0.7804067733628036
.php,0.9212358572671888,0.8737102765167148,0.8968438890065663,2423.0,0.8075486096853788
.pm,0.7939655172413793,0.8688679245283019,0.8297297297297297,2120.0,0.6922635698004896
.prolog,0.8321167883211679,0.7166344294003868,0.770070148090413,2068.0,0.60140866796255
.ps1,0.8572134387351779,0.7609649122807017,0.8062267657992566,2280.0,0.6570386919644763
.py,0.9261334691798268,0.8233695652173914,0.8717333972668424,2208.0,0.7659344121694719
.r,0.9241748438893844,0.8757396449704142,0.8993055555555556,2366.0,0.8118877914561633
.rb,0.8981443298969072,0.8940886699507389,0.8961119111293973,2436.0,0.8052595141668151
.rs,0.9726672950047125,0.9124668435013262,0.9416058394160584,2262.0,0.8892448396880913
.scala,0.9124531835205992,0.8863119599818099,0.8991926182237602,2199.0,0.8108875927582995
.sh,0.8248003757632691,0.7934929959331225,0.8088438507600184,2213.0,0.6584390269679432
.sql,0.508800521512386,0.7663230240549829,0.6115572967678747,2037.0,0.3940361362122248
.swift,0.9733268671193016,0.9493850520340587,0.9612068965517241,2114.0,0.9249904915502659
.tex,0.9037546271813856,0.853220169745382,0.8777606574216744,2003.0,0.773652918189762
.toml,0.878698224852071,0.7481108312342569,0.8081632653061225,1588.0,0.6608347366469731
.ts,0.8590355060943297,0.8482469911041339,0.8536071616640337,1911.0,0.7311908143015295
.v,0.9292523833416959,0.8282647584973166,0.875857176637503,2236.0,0.7729992350304369
.vba,0.7882305844675741,0.8007320048800325,0.7944321161993141,2459.0,0.63541352583829
.xml,0.9625832906201948,0.8482384823848238,0.9018007202881152,2214.0,0.819415894493676
.yaml,0.7415302626570233,0.8495420846053205,0.791869918699187,2293.0,0.6329549692626892
macro_average,0.8520158444859325,0.8253802125006596,0.8301766267182584,,
