label,precision,recall,f1_score,support,average_precision
.asm,0.7770419426048565,0.7391852162956741,0.7576409814894532,2381.0,0.5797667638439812
.bat,0.7510335323840147,0.8211953792064289,0.784548944337812,1991.0,0.6198345251742883
.c,0.6183026984747751,0.7121621621621622,0.6619217081850534,2220.0,0.4458768325214919
.cbl,0.452914798206278,0.4488888888888889,0.45089285714285715,225.0,0.20438445447528694
.clj,0.9711299153807864,0.9507797270955166,0.9608470819995075,2052.0,0.9242070829253644
.cmake,0.8348250610252238,0.9023746701846965,0.8672865595942519,2274.0,0.7552514369776528
.coffee,0.936289500509684,0.8823246878001921,0.9085064292779426,2082.0,0.8282373760427095
.cpp,0.6208914903196758,0.5729123390112173,0.5959377700950734,2407.0,0.36463706452068423
.cs,0.8570784490532011,0.9327772325809617,0.893327067669173,2038.0,0.8006521077703499
.css,0.8638220608261462,0.9406821552150272,0.9006152389966872,2023.0,0.8136233210748728
.csv,0.9165145985401459,0.9463024022609515,0.9311703360370799,2123.0,0.8682892233216866
.dart,0.9553689792311092,0.9404088734232275,0.9478298991670321,2299.0,0.8996263094199485
.dm,0.9441225165562914,0.9823428079242033,0.9628535246939637,2322.0,0.9278077493563769
.dockerfile,0.9188944268237427,0.8790637191157347,0.8985378821444395,2307.0,0.8101878286994554
.erl,0.9104908565928778,0.9594320486815415,0.934320987654321,1972.0,0.8742483232964813
.ex,0.9682119205298013,0.9648042234931808,0.9665050683120316,2273.0,0.934829165613361
.f90,0.7453168593064966,0.7638888888888888,0.7544886019770023,2448.0,0.574354974150347
.go,0.9730185497470489,0.7529360591561548,0.8489455615497794,2299.0,0.7375496820257104
.groovy,0.839440694310511,0.8402509652509652,0.8398456343463581,2072.0,0.7082131700887494
.hs,0.9662065683008091,0.9611742424242424,0.963683835746499,2112.0,0.9294044371478661
.html,0.9237330657300552,0.8626991565135895,0.8921734916404167,2134.0,0.7994463007337945
.ini,0.5607547169811321,0.7683557394002068,0.6483420593368238,1934.0,0.43474671170687457
.java,0.9281793229643184,0.8630370055295619,0.8944236279479832,2351.0,0.8038473206708849
.jl,0.9287622439893143,0.8709812108559499,0.89894419306184,2395.0,0.8116158710418188
.js,0.8230958230958231,0.7841760299625468,0.8031647087029489,2136.0,0.6494524313633071
.json,0.9730639730639731,0.9835507657402155,0.9782792665726375,1763.0,0.9573094689218269
.kt,0.8766884531590414,0.9297597042513863,0.902444494281229,2164.0,0.8164286062843089
.lisp,0.9284634760705289,0.9593961478396669,0.9436763952892986,1921.0,0.891441142415413
.lua,0.9496437054631829,0.8892348754448398,0.9184470480128646,2248.0,0.8466170477319227
.makefile,0.7990890688259109,0.8168649767201241,0.8078792530058838,1933.0,0.6558197769689927
.matlab,0.9034976822587442,0.9111772205694858,0.9073212018620397,2353.0,0.8250601447740056
.md,0.6474654377880185,0.7604871447902571,0.6994399502177971,2217.0,0.4969969971815981
.ml,0.919229004130335,0.9474929044465469,0.933146983461449,2114.0,0.8719261829115067
.mm,0.9529872673849168,0.9059590316573557,0.9288782816229116,2148.0,0.865120315952485
.pas,0.936914736323312,0.9152623976889744,0.925962006819289,2077.0,0.8590501019868905
.php,0.9156369833830422,0.8869170449855551,0.9010482180293501,2423.0,0.8144717354970202
.pm,0.9315992292870906,0.9122641509433962,0.9218303145853193,2120.0,0.8514786308458132
.prolog,0.9130895601483837,0.8331721470019342,0.8713021491782553,2068.0,0.7637545933609914
.ps1,0.8673693456302152,0.8662280701754386,0.8667983322361202,2280.0,0.7539863707968227
.py,0.8912938912938912,0.8392210144927537,0.8644739911359925,2208.0,0.7510731447211849
.r,0.9225531914893617,0.9163144547759933,0.919423240033927,2366.0,0.8470670078995949
.rb,0.94509963399756,0.9540229885057471,0.9495403472931563,2436.0,0.9026186788917108
.rs,0.9240561896400351,0.9305923961096375,0.9273127753303965,2262.0,0.8612820614772253
.scala,0.8462164361269324,0.9458844929513415,0.8932789349366544,2199.0,0.8014556500945399
.sh,0.864321608040201,0.8549480343425214,0.8596092685143116,2213.0,0.7417355993259185
.sql,0.8347685683530678,0.7614138438880707,0.7964056482670091,2037.0,0.6398217032439724
.swift,0.9677725118483412,0.9659413434247871,0.9668560606060607,2114.0,0.9354362741291558
.tex,0.9236719958741619,0.8941587618572142,0.908675799086758,2003.0,0.8277490791348993
.toml,0.8501702610669694,0.9433249370277078,0.8943283582089553,1588.0,0.8027678003648142
.ts,0.9289805269186713,0.848770277341706,0.8870659010117583,1911.0,0.7909989127900802
.v,0.9303482587064676,0.7526833631484794,0.8321384425216317,2236.0,0.7050564205590151
.vba,0.8217943465792708,0.815778771858479,0.8187755102040816,2459.0,0.6743333777569721
.xml,0.9798072510325837,0.9643179765130985,0.9720009105394946,2214.0,0.9455312834452454
.yaml,0.8810440735986307,0.8979502834714348,0.8894168466522678,2293.0,0.7931643558292802
macro_average,0.8705940233142029,0.8675226917275161,0.8676390737152451,,
