label,precision,recall,f1_score,support,average_precision
.asm,0.907447266465777,0.8853422931541369,0.8962585034013606,2381.0,0.8057704540315866
.bat,0.7925311203319502,0.8633852335509794,0.8264423076923078,1991.0,0.6866199989534206
.c,0.7929188966652944,0.8675675675675676,0.8285652828565282,2220.0,0.6904619602361547
.cbl,0.5738636363636364,0.4488888888888889,0.5037406483790524,225.0,0.2586770440481456
.clj,0.9821256038647344,0.9907407407407407,0.9864143619602135,2052.0,0.9731967244427133
.cmake,0.9344692005242464,0.9406332453825857,0.9375410913872452,2274.0,0.8801642853706704
.coffee,0.9357038480272771,0.9226705091258406,0.9291414752116083,2082.0,0.8647434544429877
.cpp,0.8502906976744186,0.7291233901121729,0.7850592708566316,2407.0,0.6256246919848002
.cs,0.9873108833577355,0.992639842983317,0.9899681918277465,2038.0,0.9801742856287734
.css,0.9690154922538731,0.9584775086505191,0.963717693836978,2023.0,0.9295084810815016
.csv,0.9045680687471732,0.9420631182289213,0.9229349330872173,2123.0,0.8532275717482887
.dart,0.977538185085355,0.9464984775989561,0.9617679558011051,2299.0,0.9263057602321485
.dm,0.9900260190806591,0.9832041343669251,0.9866032843560933,2322.0,0.9737361051226927
.dockerfile,0.9482683033757124,0.9375812743823146,0.9428945074106364,2307.0,0.8903281921449325
.erl,0.954679802955665,0.9827586206896551,0.9685157421289355,1972.0,0.9385148479191311
.ex,0.9919028340080972,0.9700835899692037,0.9808718861209965,2273.0,0.9628187452475022
.f90,0.8900372054568003,0.8794934640522876,0.8847339223340868,2448.0,0.7853418244336268
.go,0.9947089947089947,0.9812962157459765,0.9879570834245676,2299.0,0.9764773130806695
.groovy,0.9543859649122807,0.918918918918919,0.93631669535284,2072.0,0.8784611715530884
.hs,0.9849295089936801,0.959280303030303,0.9719357159990406,2112.0,0.9455697594594422
.html,0.9442815249266863,0.9053420805998126,0.924401913875598,2134.0,0.8566506944597462
.ini,0.6418145956607495,0.8412616339193382,0.7281270977847393,1934.0,0.542598047207314
.java,0.9787595581988106,0.9800085070182901,0.9793836344314559,2351.0,0.9596005449370344
.jl,0.9184760344121262,0.936116910229645,0.9272125723738627,2395.0,0.861128634501532
.js,0.8666367310282892,0.903558052434457,0.8847123538849415,2136.0,0.7848442016392297
.json,0.9382716049382716,0.9914917753828701,0.9641478212906784,1763.0,0.9304187447684127
.kt,0.9752220663861617,0.9639556377079482,0.9695561236346734,2164.0,0.9407476689736562
.lisp,0.9725882973115445,0.9604372722540343,0.966474594028287,1921.0,0.9347695559733721
.lua,0.974818401937046,0.8954626334519573,0.9334569904938559,2248.0,0.8749527112196601
.makefile,0.9017713365539453,0.8691153647180548,0.8851422550052688,1933.0,0.7859387804212512
.matlab,0.9612538093164997,0.9383765405864853,0.9496774193548387,2353.0,0.9032762897146969
.md,0.6654879773691655,0.8488949030221019,0.7460852329038653,2217.0,0.5678363792070628
.ml,0.9705882352941176,0.967833491012299,0.9692089057318806,2114.0,0.9399578832324726
.mm,0.9724371373307543,0.936219739292365,0.9539848197343453,2148.0,0.9116036871477348
.pas,0.9799699549323986,0.9422243620606644,0.9607265586647029,2077.0,0.9243928887994445
.php,0.9849785407725322,0.9471729261246389,0.9657058699768567,2423.0,0.9340557513531199
.pm,0.9731929152704644,0.9589622641509434,0.9660251841292469,2120.0,0.934010240785041
.prolog,0.9614604462474645,0.9168278529980658,0.9386138613861387,2068.0,0.8829862798926196
.ps1,0.9265562024182714,0.9074561403508772,0.9169067139375138,2280.0,0.8426401085134054
.py,0.9556509298998569,0.907608695652174,0.9310104529616725,2208.0,0.8691273433820965
.r,0.9706009511456982,0.9488588334742181,0.9596067535798247,2366.0,0.9220132871408431
.rb,0.9684908789386402,0.9589490968801314,0.9636963696369637,2436.0,0.9296012230070597
.rs,0.9839500668747213,0.9756852343059239,0.9798002219755826,2262.0,0.9605028246657052
.scala,0.9605734767025089,0.9749886311959982,0.9677273753103138,2199.0,0.9370254923350736
.sh,0.9168241965973535,0.87663804789878,0.8962808962808962,2213.0,0.8060919841937937
.sql,0.8520853540252182,0.8625429553264605,0.8572822639668212,2037.0,0.737389973525482
.swift,0.9829140958709065,0.9796594134342479,0.9812840559109216,2114.0,0.9632941874213949
.tex,0.9511568123393316,0.9236145781328008,0.9371833839918947,2003.0,0.8798299850146066
.toml,0.878499106611078,0.9288413098236776,0.9029690847872667,1588.0,0.8169668401863571
.ts,0.9313417190775681,0.9298796441653584,0.9306101073579471,1911.0,0.8671985172105584
.v,0.9551463644948064,0.9047406082289803,0.9292604501607716,2236.0,0.8660080513957292
.vba,0.8854425144747725,0.8706791378609191,0.8779987697354932,2459.0,0.7736958315411145
.xml,0.9795918367346939,0.975609756097561,0.9775967413441955,2214.0,0.9561679483404877
.yaml,0.8921404682274248,0.930658525948539,0.9109925293489861,2293.0,0.8316578863059821
macro_average,0.9238832532439488,0.9196355535718672,0.9208190728221757,,
